,Dist(nm),FES(kcal/mol),Derivatives,Replica name,Fit FES(kcal/mol)
188,4.56537961,-3.117823265,16.184826164,replica13,-2.846480004714969
189,4.582996364,-2.831804111,16.096720406,replica13,-2.5816697368601726
190,4.600613117,-2.55720381,14.916658391,replica13,-2.3550839106685557
191,4.61822987,-2.311017381,12.930266917,replica13,-2.16482821861261
192,4.635846623,-2.104001109,10.538352991,replica13,-2.0075681674200343
193,4.653463377,-1.939696277,8.161653924,replica13,-1.878840799505047
194,4.67108013,-1.813276199,6.308132282,replica13,-1.77342905212952
195,4.688696883,-1.712464063,5.274073537,replica13,-1.685769708899825
196,4.706313636,-1.622623596,5.034826523,replica13,-1.6103641071612564
197,4.72393039,-1.532467454,5.229991448,replica13,-1.5421612761481764
198,4.741547143,-1.439182693,5.298228951,replica13,-1.4768859221181274
199,4.759163896,-1.348630409,4.884424067,replica13,-1.4112884134778056
200,4.776780649,-1.269884041,3.997444701,replica13,-1.3433002732939785
201,4.794397403,-1.208237356,3.042776623,replica13,-1.272086167075968
202,4.812014156,-1.159594654,2.594983671,replica13,-1.1979914125165578
203,4.829630909,-1.111531039,3.013130463,replica13,-1.1223920333711155
204,4.847247662,-1.048971045,4.180569829,replica13,-1.0474617408465088
205,4.864864416,-0.96377578,5.430481892,replica13,-0.9758764155050355
206,4.882481169,-0.862122339,5.917981521,replica13,-0.9104812358878673
207,4.900097922,-0.763202232,5.062344781,replica13,-0.8539482357733996
208,4.917714675,-0.691310994,2.917490924,replica13,-0.8084525949706505
209,4.935331429,-0.664488099,0.086311685,replica13,-0.7753943604730587
210,4.952948182,-0.686853865,-2.516827879,replica13,-0.7551886937309278
211,4.970564935,-0.747617308,-4.185642726,replica13,-0.7471424282997041
212,4.988181688,-0.827139585,-4.642360478,replica13,-0.7494281049350557
213,5.005798442,-0.904803861,-4.014767549,replica13,-0.7591592243523166
214,5.023415195,-0.963811219,-2.564980323,replica13,-0.7725627714476918
215,5.041031948,-0.991561235,-0.498009781,replica13,-0.7852376823322063
216,5.058648701,-0.978763008,2.007805495,replica13,-0.7924813829482521
217,5.076265455,-0.919872134,4.67047602,replica13,-0.7896612950206903
218,5.093882208,-0.815998846,7.023325627,replica13,-0.7726046519437778
219,5.111498961,-0.677404425,8.532308105,replica13,-0.7379783392900958
220,5.129115714,-0.522385073,8.86447281,replica13,-0.6836308762721137
221,5.146732468,-0.371768943,8.065197266,replica13,-0.6088710433213399
222,5.164349221,-0.242853872,6.479756828,replica13,-0.5146618529562148
223,5.181965974,-0.144982807,4.62943293,replica13,-0.4037142458658409
224,5.199582727,-0.078616514,2.959499314,replica13,-0.280471658931284
225,5.217199481,-0.038374478,1.683692114,replica13,-0.15098397288055884
226,5.234816234,-0.016637702,0.854282002,replica13,-0.022676785143904032
227,5.252432987,-0.006234642,0.372606704,replica13,0.09597104879405938
228,5.27004974,-0.001975043,0.144086411,replica13,0.19582258264436853
229,5.287666494,-0.000457357,0.043205609,replica13,0.26752687643182804
230,5.305283247,-5.5588e-05,0.008880321,replica13,0.3019851185716453
231,5.3229,-0.0,0.001367687,replica13,0.2908105579572912
0,1.26936,-0.0,-0.0,replica15,0.2629095893117569
1,1.287000886,-0.000164364,-0.025265617,replica15,0.29821170143154413
2,1.304641772,-0.001431951,-0.158771829,replica15,0.2532679501195076
3,1.322282658,-0.007775603,-0.661536167,replica15,0.12405237436502961
4,1.339923544,-0.029291704,-1.979714088,replica15,-0.09107913144133252
5,1.35756443,-0.086878127,-4.877983369,replica15,-0.39131399153670654
6,1.375205316,-0.216010797,-10.309333253,replica15,-0.7734050345463055
7,1.392846203,-0.47141771,-19.298053428,replica15,-1.2317906751229137
8,1.410487089,-0.919924299,-32.119634452,replica15,-1.7588100617740237
9,1.428127975,-1.62008203,-47.484245795,replica15,-2.345005782565592
10,1.445768861,-2.591971728,-62.231430289,replica15,-2.9795026776831377
11,1.463409747,-3.786292827,-71.987625313,replica15,-3.650447695042426
12,1.481050633,-5.080449481,-73.098520673,replica15,-4.345492720061782
13,1.498691519,-6.306880743,-64.362254909,replica15,-5.0523000659951975
14,1.516332405,-7.30470872,-47.773446244,replica15,-5.759048946546391
15,1.533973291,-7.971769099,-27.67818139,replica15,-6.454920848145508
16,1.551614177,-8.289412483,-8.916413664,replica15,-7.130542311641703
17,1.569255063,-8.317970236,4.530595774,replica15,-7.77836521218379
18,1.586895949,-8.175751444,10.126333863,replica15,-8.392967134951833
19,1.604536835,-8.0141061,6.696057019,replica15,-8.971257781663276
20,1.622177722,-7.989578161,-5.161005717,replica15,-9.512581366368735
21,1.639818608,-8.229781134,-22.704628089,replica15,-10.018709492615539
22,1.657459494,-8.798668038,-41.57400231,replica15,-10.493723844865093
23,1.67510038,-9.674563867,-56.742411694,replica15,-10.943792955356555
24,1.692741266,-10.755896171,-64.387722505,replica15,-11.376852096910493
25,1.710382152,-11.893101315,-63.104765546,replica15,-11.802199779926749
26,1.728023038,-12.937599045,-54.324823087,replica15,-12.230028190119878
27,1.745663924,-13.785069781,-41.365603044,replica15,-12.670908009071763
28,1.76330481,-14.396406171,-28.178638513,replica15,-13.135250262787356
29,1.780945696,-14.797845882,-18.051019523,replica15,-13.632769035449066
